key,source_language,target_language
events.currentlyNoEvents,Es gibt aktuell keine Veranstaltungen.,ليست هناك فعاليات متوفرة حاليًا.
extras.offers,Angebote,العروض
feedback.technicalTopics,Technische Funktionen,وظائف تقنية
feedback.contentOfCity,Inhalte von {{city}},محتويات {{city}}
feedback.contentOfExtra,"Angebot ""{{extra}}""","عرض ""{{extra}}"""
feedback.disclaimer,Kontakt und Impressum,جهة الاتصال وهيئة التحرير
feedback.searchFor,Suche nach,البحث عن
feedback.contentOfPage,"Inhalt der Seite ""{{page}}""","محتوى الصفحة ""{{page}}"""
feedback.contentOfEvent,"Inhalt der Veranstaltung ""{{event}}""","مضمون الفعالية ""{{event}}"""
feedback.send,Abschicken,إرسال
feedback.failedSendingFeedback,Beim Senden des Feedbacks ist ein Fehler aufgetreten.,حدث خطأ ما عند إرسال الملاحظة.
feedback.feedback,Feedback,ملاحظة
feedback.positiveComment,Was war hilfreich?,ماذا الذي كان مفيدًا؟
feedback.negativeComment,Was können wir besser machen?,ما الذي يمكننا تحسينه؟
feedback.feedbackType,Wofür ist das Feedback?,ما نوع الملاحظة؟
feedback.isThisSiteUseful,Ist diese Seite hilfreich?,هل هذه الصفحة مفيدة؟
feedback.useful,Hilfreich,مفيدة
feedback.notUseful,Nicht hilfreich,غير مفيدة
feedback.nothingFound,Es wurden leider keine passenden Ergebnisse gefunden.,للأسف تعذر العثور على نتائج مناسبة.
feedback.yourFeedback,Ihr Feedback...,ملاحظاتك...
feedback.informationNotFound,Nicht das Richtige gefunden?,لم يتم العثور على المعلومة المناسبة؟
feedback.wantedInformation,Welche Informationen fehlen hier?,ما هي المعلومات المفقودة هنا؟
feedback.feedbackSent,Feedback abgeschickt,تم إرسال الملاحظة
feedback.thanksMessage,"Vielen Dank für Ihr Feedback. Damit helfen Sie uns, unsere Inhalte und die Integreat-App zu verbessern. Wir würden uns über weiteres Feedback freuen.",شكرًا على ملاحظاتك. فمن خلالها تساعدنا على تطوير محتوياتنا وتطوير تطبيق إنتجريت. يُسعدنا تقديمك لمزيد من الملاحظات.
