key,source_language,target_language
intro.inquiryIntro,"Durch Klicken auf ""{{accept}}"" erlaube ich der Integreat-App, ...","Klikom na ""{{accept}}"" dozvoljavam aplikaciji Integreat da..."
intro.sentryTitle,App-Stabilität,Stabilnost aplikacije
intro.sentryCondition,... mit dem automatischen Senden von Absturzberichten Integreat zu verbessern,... automatskim slanjem izvještaja o padu sustava poboljšava Integreat
intro.pushNewsTitle,Push-Benachrichtigungen,Push obavijesti
intro.pushNewsCondition,... mir Push-Benachrichtigungen zu den neuesten lokalen News zu senden,... mi šalje push obavijesti o najnovijim lokalni vijestima
intro.proposeCitiesTitle,Nahegelegene Orte,Mjesta u blizini
intro.proposeCitiesCondition,... mir mithilfe meines GPS-Standortes nahegelegene Orte vorzuschlagen,... mi pomoću moje GPS lokacije predlaže mjesta u blizini
intro.skip,Überspringen,Preskoči
intro.next,Weiter,Dalje
intro.cancel,Abbrechen,Prekid
intro.save,Speichern,Spremi
intro.customize,Anpassen,Prilagodi
intro.decline,Ablehnen,Odbaci
intro.accept,Akzeptieren,Prihvati
intro.privacyPolicy,Datenschutzerklärung,Izjava o zaštiti podataka
landing.searchCity,Ort suchen,Traži mjesto
landing.nearbyPlaces,Orte in der Nähe,Mjesta u blizini
landing.noNearbyPlaces,Keine Orte in der Nähe gefunden.,Nisu pronađena mjesta u blizini.
landing.alert,Hinweis,Napomena
landing.locationError,"Um Orte in der Nähe anzeigen zu können, müssen Ortungsdienste aktiviert werden.",Za prikaz mjesta u blizini mora biti aktivirana usluga geolokacije.
layout.imprintAndContact,Impressum und Kontakt,Impresum i kontakt
layout.privacy,Datenschutz,Zaštita podataka
layout.offers,Angebote,Ponude
layout.categories,Kategorien,Kategorije
layout.events,Veranstaltungen,Događanja
layout.noEvents,Keine Veranstaltungen,Nema događanja
layout.noLanguages,Nicht verfügbar in anderen Sprachen,Nije dostupno na drugim jezicima
layout.noTranslation,Keine Übersetzung verfügbar,Prijevod nije dostupan
layout.search,Suchen,Pretraživanje
layout.changeLocation,Standort wechseln,Promjena lokacije
layout.changeLanguage,Sprache wechseln,Promjena jezika
search.searchCategory,Suche nach einer Kategorie,Pretraga po kategoriji
settings.sentryTitle,App-Stabilität,Stabilnost aplikacije
settings.sentryDescription,Durch das automatische Senden von Absturzberichten die Integreat-App verbessern,Automatskim slanjem izvještaja o padu sustava aplikacija Integreat se poboljšava
settings.pushNewsTitle,Push-Benachrichtigungen,Push obavijesti
settings.pushNewsDescription,Push-Benachrichtigungen für die neuesten lokalen News erhalten,Primaj push obavijesti s najnovijim lokalnim vijestima
settings.proposeCitiesTitle,Nahegelegene Orte,Mjesta u blizini
settings.proposeCitiesDescription,Mithilfe des GPS-Standortes Vorschläge für nahegelegene Orte erhalten,Primaj prijedloge za mjesta u blizini putem GPS lokacije
settings.about,Über Integreat,O aplikaciji Integreat
settings.privacyPolicy,Datenschutzerklärung,Izjava o zaštiti podataka
settings.version,Version: {{version}},Verzija: {{version}}
settings.openSourceLicenses,Open-Source-Lizenzen,Licencije otvorenog koda
snackbar.grantPermission,Erlauben,Dozvoli
snackbar.deactivateFeature,Feature deaktivieren,Deaktiviraj opciju
sprungbrett.noOffersAvailable,Keine Angebote verfügbar,Nema dostupnih ponuda
wohnen.noOffersAvailable,Keine Angebote verfügbar.,Nema dostupnih ponuda.
wohnen.values.runningServices.heating,Heizung,Grijanje
wohnen.values.runningServices.water,Wasser/Abwasser,Voda/kanalizacija
wohnen.values.runningServices.garbage,Müllabfuhr,Odvoz smeća
wohnen.values.runningServices.chimney,Kaminkehrer,Dimnjačar
wohnen.values.runningServices.other,Sonstiges,Ostalo
wohnen.values.additionalServices.garage,Garage/Stellplatz,Garaža / parkirno mjesto
wohnen.values.additionalServices.other,Sonstiges,Ostalo
wohnen.values.rooms.kitchen,Küche,Kuhinja
wohnen.values.rooms.bath,Bad,Kupaonica
wohnen.values.rooms.wc,WC,WC
wohnen.values.rooms.child1,Kinderzimmer 1,Dječja soba 1
wohnen.values.rooms.child2,Kinderzimmer 2,Dječja soba 2
wohnen.values.rooms.child3,Kinderzimmer 3,Dječja soba 3
wohnen.values.rooms.bed,Schlafzimmer,Spavaća soba
wohnen.values.rooms.livingroom,Wohnzimmer,Dnevna soba
wohnen.values.rooms.hallway,Diele,Hodnik
wohnen.values.rooms.store,Abstellraum,Ostava
wohnen.values.rooms.basement,Kellerraum,Podrum
wohnen.values.rooms.balcony,Balkon / Terrasse,Balkon/terasa
