"key","source_language","target_language"
"native.NSPhotoLibraryAddUsageDescription","Um Bilder zu speichern, benötigt {{appName}} Zugriff auf die Galerie.","Pour enregistrer des photos, {{appName}} doit accéder à la galerie."
"native.NSLocationWhenInUseUsageDescription","Um nahegelegene Orte zu finden, benötigt {{appName}} Zugriff auf den Standort.","Pour trouver des lieux situés à proximité,  {{appName}} a besoin d’un accès au site."
