"key","source_language","target_language"
"native.NSPhotoLibraryAddUsageDescription","Um Bilder zu speichern, benötigt {{appName}} Zugriff auf die Galerie.","Jibo zexîrekirin anku xwedankirina wêneyan, {{appName}} hewcetî bi têketina nav galeriyê heye."
"native.NSLocationWhenInUseUsageDescription","Um nahegelegene Orte zu finden, benötigt {{appName}} Zugriff auf den Standort.","Ji bo ku hûn deverên nêzîk bibînin, {{appName}} hewcetî bi destgihiştina mekanê heye."
