key,source_language,target_language
feedback.searchFor,Suche nach,Wyszukaj
feedback.contentOfPage,"Inhalt der Seite ""{{page}}""","Treść strony ""{{page}}"""
feedback.contentOfEvent,"Inhalt der Veranstaltung ""{{event}}""","Treść wydarzenia ""{{event}}"""
feedback.send,Abschicken,Wyślij
feedback.failedSendingFeedback,Beim Senden des Feedbacks ist ein Fehler aufgetreten.,Wystąpił błąd podczas wysyłania opinii.
feedback.feedback,Feedback,Opinia
feedback.positiveComment,Was war hilfreich?,Co było pomocne?
feedback.negativeComment,Was können wir besser machen?,Co możemy zrobić lepiej?
feedback.feedbackType,Wofür ist das Feedback?,Do czego służy opinia zwrotna?
feedback.isThisSiteUseful,Ist diese Seite hilfreich?,Czy ta strona jest pomocna?
feedback.useful,Hilfreich,Przydatne
feedback.notUseful,Nicht hilfreich,Nie przydatne
feedback.nothingFound,Es wurden leider keine passenden Ergebnisse gefunden.,Niestety nie znaleziono odpowiednich wyników.
feedback.yourFeedback,Ihr Feedback...,Twoja opinia...
feedback.informationNotFound,Nicht das Richtige gefunden?,Nie znalazłeś właściwej rzeczy?
feedback.wantedInformation,Welche Informationen fehlen hier?,Jakich informacji tutaj brakuje?
feedback.feedbackSent,Feedback abgeschickt,Wysłano opinię
feedback.thanksMessage,"Vielen Dank für Ihr Feedback. Damit helfen Sie uns, unsere Inhalte und die {{appName}}-App zu verbessern. Wir würden uns über weiteres Feedback freuen.",Bardzo dziękujemy za opinię. Dzięki temu pomagasz nam ulepszać nasze treści i aplikację {{appName}}. Mamy nadzieję na dalsze informacje zwrotne.
feedback.close,Schließen,Zamknij
feedback.negativeRating,Diese Seite ist nicht hilfreich,Ta strona nie jest pomocna
feedback.positiveRating,Diese Seite ist hilfreich,Ta strona jest pomocna
intro.integreat,{{appName}},{{appName}}
intro.integreatDescription,{{appName}} ist Ihr digitaler Guide für Deutschland,{{appName}} to e-przewodnik po Niemczech
intro.search,Suche,Wyszukiwarka
intro.searchDescription,Anhand von Schlagwörtern schnell die richtige Information finden,Szybko znajdź odpowiednią informację za pomocą haseł
intro.languageChange,Sprachwechsel,Zmiana języka
intro.languageChangeDescription,Einfaches Umstellen der Sprache einzelner Seiten,Łatwa zmiana języka na pojedynczych stronach
intro.events,Veranstaltungen,Wydarzenia
intro.eventsDescription,Aktuelle Veranstaltungen und Termine in der Umgebung,Aktualne wydarzenia i terminy w okolicy
intro.offers,Angebote,Oferty
intro.offersDescription,"Jobsuche, Praktikasuche und mehr in der Umgebung","Oferty pracy, staże itd. w okolicy"
intro.inquiryTitle,Einstellungen,Ustawienia
intro.inquiryIntro,"Durch Klicken auf ""{{accept}}"" erlaube ich der {{appName}}-App, ...","Naciskając ""{{accept}}„, zezwalam aplikacji App,..."
intro.sentryTitle,App-Stabilität,Stabilność aplikacji
intro.sentryCondition,... mit dem automatischen Senden von Absturzberichten {{appName}} zu verbessern,... na ulepszanie {{appName}} dzięki automatycznemu przesyłaniu raportów o awariach
