key,source_language,target_language
intro.skip,Überspringen,Skip
intro.next,Weiter,Continue
intro.cancel,Abbrechen,Abort
intro.save,Speichern,Save
intro.customize,Anpassen,Adapt
intro.decline,Ablehnen,Refuse
intro.accept,Akzeptieren,Accept
intro.privacyPolicy,Datenschutzerklärung,Data protection policy
landing.searchCity,Ort suchen,Search for a city
landing.nearbyPlaces,Orte in der Nähe,Nearby locations
landing.noNearbyPlaces,Keine Orte in der Nähe gefunden.,No nearby locations found.
landing.alert,Hinweis,Note
landing.locationError,"Um Orte in der Nähe anzeigen zu können, müssen Ortungsdienste aktiviert werden.","To display nearby locations, location services must be active."
landing.noPermission,Standortzugriff erforderlich,
landing.loading,Bestimme Standort...,
landing.notAvailable,Standortbestimmung deaktiviert,
landing.timeout,Standortbestimmung fehlgeschlagen,
landing.refresh,Liste der Orte aktualisieren,Refresh nearby locations
layout.imprintAndContact,Impressum und Kontakt,Imprint and contacts
layout.privacy,Datenschutz,Data protection
layout.offers,Angebote,Offers
layout.localInformation,Lokale Informationen,Local information
layout.events,Veranstaltungen,Events
layout.noEvents,Keine Veranstaltungen,No events
layout.news,Nachrichten,
layout.noLanguages,Nicht verfügbar in anderen Sprachen,Not available in other languages
layout.noTranslation,Keine Übersetzung verfügbar,No translation available
layout.search,Suchen,Search
layout.changeLocation,Standort wechseln,Change location
layout.changeLanguage,Sprache wechseln,Change language
layout.settings,Einstellungen,Settings
layout.share,Teilen,Share
layout.cancel,Abbrechen,Cancel
layout.shareMessage,Gerade gefunden: {{message}},Just found: {{message}}
layout.shareFailDefaultMessage,Das Teilen des Inhalts ist leider fehlgeschlagen.,Unfortunately an error occurred when sharing the content.
layout.disclaimer,Impressum,Imprint
news.news,Nachrichten,
news.newsAlternative,Neuigkeiten,
news.localNews,Lokale Nachrichten,
news.localNewsAlternative,Lokale Neuigkeiten,
news.local,Lokal,
news.readMore,Weiterlesen,
news.currentlyNoNews,Aktuell gibt es keine Nachrichten.,
news.currentlyNoNewsAlternative,Aktuell gibt es keine Neuigkeiten.,
offers.offers,Angebote,Offers
search.searchPlaceholder,Suche,
settings.sentryTitle,App-Stabilität,App stability
settings.sentryDescription,Durch das automatische Senden von Absturzberichten die {{appName}}-App verbessern,Improve the {{appName}} app by automatically sending crash reports
settings.pushNewsTitle,Push-Benachrichtigungen,Push notifications
settings.pushNewsDescription,Push-Benachrichtigungen für die neuesten lokalen Nachrichten erhalten,Receive push notifications for the latest local news
settings.proposeCitiesTitle,Nahegelegene Orte,Nearby locations
settings.proposeCitiesDescription,Mithilfe des GPS-Standortes Vorschläge für nahegelegene Orte erhalten,Receive suggestions for nearby locations with the help of GPS location services
settings.about,Über {{appName}},About {{appName}}
settings.privacyPolicy,Datenschutzerklärung,Data protection policy
settings.version,Version: {{version}},Version: {{version}}
settings.openSourceLicenses,Open-Source-Lizenzen,Open source licences
snackbar.grantPermission,Erlauben,Allow
snackbar.deactivateFeature,Feature deaktivieren,Deactivate feature
snackbar.locationPermissionMissing,Standortzugriff zum Vorschlagen von nahegelegenen Orten erforderlich,
snackbar.pushNotificationPermissionMissing,Berechtigungen zum Senden von Push-Benachrichtigungen erforderlich,
snackbar.deactivate,Deaktivieren,
snackbar.coronaMessage,"Aktuelle, wissenschaftliche Informationen finden Sie bei der Bundeszentrale für gesundheitliche Aufklärung.",Get the latest information from the WHO about coronavirus.
snackbar.coronaUrl,https://www.infektionsschutz.de/coronavirus/,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public
snackbar.learnMore,Mehr Infos,Learn more
snackbar.dismiss,Schließen,Dismiss
sprungbrett.noOffersAvailable,Keine Angebote verfügbar,No offers available
wohnen.noOffersAvailable,Keine Angebote verfügbar.,No offers available.
wohnen.values.runningServices.heating,Heizung,Heating
wohnen.values.runningServices.water,Wasser/Abwasser,Water/waste water
wohnen.values.runningServices.garbage,Müllabfuhr,Refuse collection
wohnen.values.runningServices.chimney,Kaminkehrer,Chimney sweep
wohnen.values.runningServices.other,Sonstiges,Other
wohnen.values.additionalServices.garage,Garage/Stellplatz,Garage/parking place
wohnen.values.additionalServices.other,Sonstiges,Other
wohnen.values.rooms.kitchen,Küche,Kitchen
wohnen.values.rooms.bath,Bad,Bathroom
wohnen.values.rooms.wc,WC,WC
wohnen.values.rooms.child1,Kinderzimmer 1,Children’s room 1
wohnen.values.rooms.child2,Kinderzimmer 2,Children’s room 2
wohnen.values.rooms.child3,Kinderzimmer 3,Children’s room 3
wohnen.values.rooms.bed,Schlafzimmer,Bedroom
wohnen.values.rooms.livingroom,Wohnzimmer,Living room
wohnen.values.rooms.hallway,Diele,Hallway
wohnen.values.rooms.store,Abstellraum,Storage room
wohnen.values.rooms.basement,Kellerraum,Cellar
wohnen.values.rooms.balcony,Balkon / Terrasse,Balcony/terrace
