key,source_language,target_language
intro.eventsDescription,Aktuelle Veranstaltungen und Termine in der Umgebung,Актуальные мероприятия и события рядом с вами
intro.offers,Angebote,Предложения
intro.offersDescription,"Jobsuche, Praktikasuche und mehr in der Umgebung","Поиск работы, поиск стажировки и многое другое рядом с вами"
intro.inquiryTitle,Einstellungen,Настройки
intro.inquiryIntro,"Durch Klicken auf ""{{accept}}"" erlaube ich der {{appName}}-App, ...","Нажав на кнопку ""{{accept}}"", я разрешаю приложению {{appName}}..."
intro.sentryTitle,App-Stabilität,Стабильность приложения
intro.sentryCondition,... mit dem automatischen Senden von Absturzberichten {{appName}} zu verbessern,... улучшать приложение {{appName}} при помощи автоматической отправки сообщений о сбоях
intro.pushNewsTitle,Push-Benachrichtigungen,Push-уведомления
intro.pushNewsCondition,... mir Push-Benachrichtigungen zu den neuesten lokalen Nachrichten zu senden,... отправлять актуальные местные новости при помощи Push-уведомлений
intro.proposeCitiesTitle,Nahegelegene Orte,Места поблизости
intro.proposeCitiesCondition,... mir mithilfe meines GPS-Standortes nahegelegene Orte vorzuschlagen,... предлагать места поблизости при помощи моих GPS-координат
intro.skip,Überspringen,Пропустить
intro.next,Weiter,Далее
intro.cancel,Abbrechen,Отменить
intro.save,Speichern,Сохранить
intro.customize,Anpassen,Настроить
intro.decline,Ablehnen,Отклонить
intro.accept,Akzeptieren,Принять
intro.privacyPolicy,Datenschutzerklärung,Политика конфиденциальности
landing.searchCity,Ort suchen,Поиск места
landing.nearbyPlaces,Orte in der Nähe,Места рядом со мной
landing.noNearbyPlaces,Keine Orte in der Nähe gefunden.,Мест рядом с вами не найдено.
landing.alert,Hinweis,Примечание
landing.locationError,"Um Orte in der Nähe anzeigen zu können, müssen Ortungsdienste aktiviert werden.",Для отображения мест рядом с вами активируйте службу геолокации.
landing.noPermission,Standortzugriff erforderlich,
landing.loading,Bestimme Standort...,
landing.notAvailable,Standortbestimmung deaktiviert,
landing.timeout,Standortbestimmung fehlgeschlagen,
landing.refresh,Liste der Orte aktualisieren,
layout.imprintAndContact,Impressum und Kontakt,Выходные данные и контактная информация
layout.privacy,Datenschutz,Защита данных
layout.offers,Angebote,Предложения
layout.localInformation,Lokale Informationen,Информация о жизни страны
layout.events,Veranstaltungen,Мероприятия
layout.noEvents,Keine Veranstaltungen,Нет мероприятий
layout.news,Nachrichten,
layout.noLanguages,Nicht verfügbar in anderen Sprachen,Недоступно на других языках
layout.noTranslation,Keine Übersetzung verfügbar,Перевод недоступен
layout.search,Suchen,Поиск
layout.changeLocation,Standort wechseln,Изменить местоположение
layout.changeLanguage,Sprache wechseln,Изменить язык
layout.settings,Einstellungen,Настройки
layout.share,Teilen,Поделиться
layout.cancel,Abbrechen,Отменить
layout.shareMessage,Gerade gefunden: {{message}},Найдено: {{message}}
layout.shareFailDefaultMessage,Das Teilen des Inhalts ist leider fehlgeschlagen.,"К сожалению, не удалось поделиться содержимым."
layout.disclaimer,Impressum,Выходные данные
news.news,Nachrichten,
news.newsAlternative,Neuigkeiten,
news.localNews,Lokale Nachrichten,
news.localNewsAlternative,Lokale Neuigkeiten,
news.local,Lokal,
news.readMore,Weiterlesen,
news.currentlyNoNews,Aktuell gibt es keine Nachrichten.,
news.currentlyNoNewsAlternative,Aktuell gibt es keine Neuigkeiten.,
offers.offers,Angebote,Предложения
search.searchPlaceholder,Suche,
settings.sentryTitle,App-Stabilität,Стабильность приложения
settings.sentryDescription,Durch das automatische Senden von Absturzberichten die {{appName}}-App verbessern,Повышение стабильности работы приложения {{appName}} путем автоматической отправки сообщений о сбоях
settings.pushNewsTitle,Push-Benachrichtigungen,Push-уведомления
settings.pushNewsDescription,Push-Benachrichtigungen für die neuesten lokalen Nachrichten erhalten,Push-уведомления необходимы для получения самых актуальных местных новостей
settings.proposeCitiesTitle,Nahegelegene Orte,Места поблизости
settings.proposeCitiesDescription,Mithilfe des GPS-Standortes Vorschläge für nahegelegene Orte erhalten,При помощи GPS-координат вы будете узнавать о предложениях в находящихся поблизости местах
settings.about,Über {{appName}},Что такое {{appName}}
settings.privacyPolicy,Datenschutzerklärung,Политика конфиденциальности
settings.version,Version: {{version}},Версия: {{version}}
settings.openSourceLicenses,Open-Source-Lizenzen,Лицензии на ПО с открытым исходным кодом
snackbar.grantPermission,Erlauben,Разрешить
snackbar.deactivateFeature,Feature deaktivieren,Отключить функцию
snackbar.locationPermissionMissing,Standortzugriff zum Vorschlagen von nahegelegenen Orten erforderlich,
snackbar.pushNotificationPermissionMissing,Berechtigungen zum Senden von Push-Benachrichtigungen erforderlich,
snackbar.deactivate,Deaktivieren,
snackbar.coronaMessage,"Aktuelle, wissenschaftliche Informationen finden Sie bei der Bundeszentrale für gesundheitliche Aufklärung.",
snackbar.coronaUrl,https://www.infektionsschutz.de/coronavirus/,
snackbar.learnMore,Mehr Infos,
snackbar.dismiss,Schließen,
sprungbrett.noOffersAvailable,Keine Angebote verfügbar,Предложения отсутствуют
wohnen.noOffersAvailable,Keine Angebote verfügbar.,Предложения отсутствуют.
wohnen.values.runningServices.heating,Heizung,Отопление
wohnen.values.runningServices.water,Wasser/Abwasser,Вода/канализация
wohnen.values.runningServices.garbage,Müllabfuhr,Вывоз мусора
wohnen.values.runningServices.chimney,Kaminkehrer,Очистка труб
wohnen.values.runningServices.other,Sonstiges,Прочее
wohnen.values.additionalServices.garage,Garage/Stellplatz,Гараж/парковочное место
wohnen.values.additionalServices.other,Sonstiges,Прочее
wohnen.values.rooms.kitchen,Küche,Кухня
wohnen.values.rooms.bath,Bad,Ванная
wohnen.values.rooms.wc,WC,Туалет
wohnen.values.rooms.child1,Kinderzimmer 1,Детская 1
wohnen.values.rooms.child2,Kinderzimmer 2,Детская 2
wohnen.values.rooms.child3,Kinderzimmer 3,Детская 3
wohnen.values.rooms.bed,Schlafzimmer,Спальня
wohnen.values.rooms.livingroom,Wohnzimmer,Гостиная
wohnen.values.rooms.hallway,Diele,Прихожая
wohnen.values.rooms.store,Abstellraum,Кладовая
wohnen.values.rooms.basement,Kellerraum,Подвал
wohnen.values.rooms.balcony,Balkon / Terrasse,Балкон / терраса
