key,source_language,target_language
intro.inquiryIntro,"Durch Klicken auf ""{{accept}}"" erlaube ich der Integreat-App, ...","Prin clic pe ""{{accept}}"" permit Integreat-App..."
intro.sentryTitle,App-Stabilität,Stabilitate app
intro.sentryCondition,... mit dem automatischen Senden von Absturzberichten Integreat zu verbessern,... să îmbunătățească Integreat prin transmiterea automată a rapoartelor de blocare
intro.pushNewsTitle,Push-Benachrichtigungen,Notificări push
intro.pushNewsCondition,... mir Push-Benachrichtigungen zu den neuesten lokalen News zu senden,... să-mi transmiteți notificări push referitoare la cele mai recente noutăți locale
intro.proposeCitiesTitle,Nahegelegene Orte,Locații aflate în apropiere
intro.proposeCitiesCondition,... mir mithilfe meines GPS-Standortes nahegelegene Orte vorzuschlagen,... să-mi propuneți locații aflate în apropiere pe baza locației mele GPS
intro.skip,Überspringen,Treceți peste
intro.next,Weiter,Mai departe
intro.cancel,Abbrechen,Întrerupeți
intro.save,Speichern,Stocați
intro.customize,Anpassen,Adaptați
intro.decline,Ablehnen,Refuzați
intro.accept,Akzeptieren,Acceptați
intro.privacyPolicy,Datenschutzerklärung,Declarație privind confidențialitatea
landing.searchCity,Ort suchen,Căutare locație
landing.nearbyPlaces,Orte in der Nähe,Locații în apropiere
landing.noNearbyPlaces,Keine Orte in der Nähe gefunden.,Nu s-au găsit locații în apropiere.
landing.alert,Hinweis,Indicație
landing.locationError,"Um Orte in der Nähe anzeigen zu können, müssen Ortungsdienste aktiviert werden.","Pentru a putea să arătăm locații în apropiere, trebuie să se activeze servicii de localizare."
layout.imprintAndContact,Impressum und Kontakt,Caseta tehnică și contact
layout.privacy,Datenschutz,Confidențialitate
layout.offers,Angebote,Oferte
layout.categories,Kategorien,Categorii
layout.events,Veranstaltungen,Evenimente
layout.noEvents,Keine Veranstaltungen,Nici un fel de evenimente
layout.noLanguages,Nicht verfügbar in anderen Sprachen,Indisponibil în alte limbi
layout.noTranslation,Keine Übersetzung verfügbar,Nicio traducere disponibilă
