"key","source_language","target_language"
"feedback.feedbackType","Wofür ist das Feedback?","እቲ መልሰ-ሓበሬታ ንምንታይ እዩ፧"
"feedback.isThisSiteUseful","Ist diese Seite hilfreich?","እዚ ገጽ’ዚ ሓግዚ ድዩ፧"
"feedback.useful","Hilfreich","ሓጋዚ"
"feedback.notUseful","Nicht hilfreich","ሓጋዚ ኣይኮነን"
"feedback.nothingFound","Es wurden leider keine passenden Ergebnisse gefunden.","ሕማቕ ኣጋጣሚ ኾይኑ ዝኾኑ ዝሰማምዑ ውጺኢታት ኣይተረኽቡን።"
"feedback.yourFeedback","Ihr Feedback...","መልሰ-ሓበሬታኻ..."
"feedback.informationNotFound","Nicht das Richtige gefunden?","ነቲ ቅኑዕ ኣይረኸቦን፧"
"feedback.wantedInformation","Welche Informationen fehlen hier?","እንታይ ሓበሬታ እዩ ኣብዚ ጎዲሉ ዘሎ፧"
"feedback.feedbackSent","Feedback abgeschickt","መልሰ-ሓበሬታ ተሰዲዱ"
"feedback.thanksMessage","Vielen Dank für Ihr Feedback. Damit helfen Sie uns, unsere Inhalte und die {{appName}}-App zu verbessern. Wir würden uns über weiteres Feedback freuen.","ንመልሰ-ሓበሬታኻ ነመስግን። ንትሕዝቶና ከምኡ ድማ ነቲ ኣፕሊከሽን/ናይ ሞባይል ሶፍትዌር {{appName}} ንምምሕያሽ ትሕግዘና ኣለኻ። ተወሳኺ መልሰ-ሓበሬታ ደስ እናበለና ምተቐበልና።"
"feedback.close","Schließen","ዕጾ"
"feedback.negativeRating","Diese Seite ist nicht hilfreich","እዚ ገጽ’ዚ ሓጋዚ ኣይኮነን"
"feedback.positiveRating","Diese Seite ist hilfreich","እዚ ገጽ’ዚ ሓጋዚ እዩ"
"intro.integreat","{{appName}}","{{appName}}"
"intro.integreatDescription","{{appName}} ist Ihr digitaler Guide für Deutschland","{{appName}} ናብ ጅርመን እትትኸድሉ መምርሒ እዩ።"
"intro.search","Suche","ፈትሽ"
"intro.searchDescription","Anhand von Schlagwörtern schnell die richtige Information finden","ቁልፊ-ቃላት ብምጥቃም ነቲ ቅኑዕ ሓበሬታ ብቕልጡፍ ርኸብ"
"intro.languageChange","Sprachwechsel","ምቕያር ቋንቋ"
"intro.languageChangeDescription","Einfaches Umstellen der Sprache einzelner Seiten","ናይ ውልቀ-ገጻት ቋንቋ ብቐሊሉ ቀይር"
"intro.events","Veranstaltungen","ኣጋጣሚታት"
"intro.eventsDescription","Aktuelle Veranstaltungen und Termine in der Umgebung","ህሉው ኣጋጣሚታትን ዕለታትን ኣብቲ ከባቢ"
"intro.offers","Angebote","ውዕላት"
"intro.offersDescription","Jobsuche, Praktikasuche und mehr in der Umgebung","ፍተሻ ስራሕ፡ ናይ ተልምዴንነት ስራሕን ካልእ ተወሳኽን ኣብቲ ከባቢ"
"intro.inquiryTitle","Einstellungen","ምትኽኻላት"
"intro.inquiryIntro","Durch Klicken auf ""{{accept}}"" erlaube ich der {{appName}}-App, ...","ኣብ ""{{accept}}"" ብምጥዋቕ እቲ ኣፕ/ናይ ሞባይል ሶፍትዌር {{appName}} ... ንኽገብር የፍቅደሉ ኣለኹ"
"intro.sentryTitle","App-Stabilität","ናይ ኣፕ ርጉእነት"
"intro.sentryCondition","... mit dem automatischen Senden von Absturzberichten {{appName}} zu verbessern","... ናይ ብልሽት/ውድቀት ጸብጻባት ብኣውቶማቲካዊ መንገዲ ብምስዳድ ን{{appName}} ምምሕያሽ"
"intro.pushNewsTitle","Push-Benachrichtigungen","ምልክታታት መልእኽቲ"
"intro.pushNewsCondition","... mir Push-Benachrichtigungen zu den neuesten lokalen Nachrichten zu senden","...ብዛዕባ እቲ ሓድሽ ዜና ምልክታታት መልእኽቲ ክሰደለይ"
"intro.proposeCitiesTitle","Nahegelegene Orte","ኣብ ጥቓኻ ዘለዎ ቦታታት"
"intro.proposeCitiesCondition","... mir mithilfe meines GPS-Standortes nahegelegene Orte vorzuschlagen","... ናተይ ናይ GPS (ጂፒኤስ) ቦታ ብምጥቃም ብዛዕባ ኣብ ጥቓይ ዘለዉ ቦታታት ሓሳብ ምሃብ"
"intro.skip","Überspringen","ስገር"
"intro.next","Weiter","ተወሳኺ"
"intro.cancel","Abbrechen","ደው ኣብል"
"intro.save","Speichern","ዓቅብ"
"intro.customize","Anpassen","ኣመዓራሪ"
"intro.decline","Ablehnen","ንጸግ"
"intro.accept","Akzeptieren","ተቐበል"
"intro.privacyPolicy","Datenschutzerklärung","ሓለዋ ዳታ/ሓበሬታ"
"landing.searchCity","Ort suchen","ከተማ ርኸብ"
"landing.nearbyPlaces","Orte in der Nähe","ኣብ ጥቓኻ ዘለዎ ቦታታት"
"landing.noNearbyPlaces","Keine Orte in der Nähe gefunden.","ኣብ ጥቓኻ ቦታታት ኣይተረኽቡን።"
"landing.alert","Hinweis","መዘኻኸሪ"
"landing.locationError","Um Orte in der Nähe anzeigen zu können, müssen Ortungsdienste aktiviert werden.","ኣብ ጥቓኻ ዘለዉ ቦታታት ንምርኣይ ናይ ቦታ ኣገልግሎታት ከምዝሰርሕ ክግበር ኣለዎ።"
"landing.noPermission","Standortzugriff erforderlich","ናብ ቦታ ናይ ምእታው ዕድል ይሕተት"
"landing.loading","Bestimme Standort...","ቦታ ኣብ ምርካብ ኣሎ ..."
"landing.notAvailable","Standortbestimmung deaktiviert","ምርካብ ቦታ ጠፊኡ ኣሎ"
"landing.timeout","Standortbestimmung fehlgeschlagen","ምርካብ ቦታ ዕዉት ኣይነበረን"
"landing.refresh","Liste der Orte aktualisieren","ንአቲ ዝርዝር ናይ ቦታታት ኣሐድሶ"
"layout.imprintAndContact","Impressum und Kontakt","ናይ ደራሲ ዝርዝራት ሓበሬታን ናይ ርክብን"
"layout.privacy","Datenschutz","ምስጢርነት"
"layout.offers","Angebote","ውዕላት"
"layout.localInformation","Lokale Informationen","ከባብያዊ ሓበሬታ"
"layout.events","Veranstaltungen","ኣጋጣሚታት"
"layout.noEvents","Keine Veranstaltungen","ኣጋጣሚታት የለዉን"
"layout.news","Nachrichten","ዜና"
"layout.noLanguages","Nicht verfügbar in anderen Sprachen","ብኻልእ ቋንቋታት የለን"
"layout.noTranslation","Keine Übersetzung verfügbar","ትርጉም የለን"
"layout.search","Suchen","ፈትሽ"
"layout.changeLocation","Standort wechseln","ቦታ ቀይር"
"layout.changeLanguage","Sprache wechseln","ቋንቋ ቀይር"
"layout.settings","Einstellungen","ምትኽኻላት"
"layout.share","Teilen","ኣካፍል"
"layout.cancel","Abbrechen","ደው ኣብል"
"layout.shareMessage","Gerade gefunden: {{message}}","ተረኺቡ ኣሎ፥ {{message}}"
"layout.shareFailDefaultMessage","Das Teilen des Inhalts ist leider fehlgeschlagen.","ሕማቕ ኣጋጣሚ ኾይኑ፡ ምክፋል እቲ ትሕዝቶ ኣይተዓወተን።"
"layout.disclaimer","Impressum","ደራሲ"
"news.news","Nachrichten","ዜና"
"news.newsAlternative","Neuigkeiten","ዜና"
"news.localNews","Lokale Nachrichten","ዜና ውሽጢ  ዓዲ"
"news.localNewsAlternative","Lokale Neuigkeiten","ዜና ውሽጢ  ዓዲ"
"news.local","Lokal","ውሽጢ ዓዲ"
"news.readMore","Weiterlesen","ምንባብ ቀጽል"
